id,year,month,total_sales,registered_car_sales,kei_car_sales,registered_yoy_pct,kei_yoy_pct,ytd_total,ytd_yoy_pct,data_source,crawl_date
1060,2024,2,343459,225408,118051,,-24.8,,,calculated,2026-06-24
1061,2024,3,449568,301340,148228,,-23.6,,,calculated,2026-06-24
1062,2024,4,309468,206659,102809,,-20.7,,,calculated,2026-06-24
1063,2024,5,311233,200470,110763,,-7.7,,,calculated,2026-06-24
1064,2024,6,371941,239903,132038,,-0.7,,,calculated,2026-06-24
1065,2024,7,403915,261934,141981,,12.9,,,calculated,2026-06-24
1066,2024,8,327139,207351,119788,,-5.3,,,calculated,2026-06-24
1067,2024,9,437312,272957,164355,,-0.6,,,calculated,2026-06-24
1068,2024,10,401152,257974,143178,,-7.3,,,calculated,2026-06-24
1069,2024,11,388305,248618,139687,,-10.5,,,calculated,2026-06-24
1070,2024,12,328278,209238,119040,,-8.8,,,calculated,2026-06-24
1071,2025,1,375229,237877,137352,,16.4,,,calculated,2026-06-24
1072,2025,2,407753,261160,146593,,24.2,,,calculated,2026-06-24
1073,2025,3,496618,326790,169828,,14.6,,,calculated,2026-06-24
1074,2025,4,341737,215923,125814,,22.4,,,calculated,2026-06-24
1075,2025,5,322764,202218,120546,,8.8,,,calculated,2026-06-24
1076,2025,6,391074,245475,145599,,10.3,,,calculated,2026-06-24
1077,2025,7,388850,250534,138316,,-2.6,,,calculated,2026-06-24
1078,2025,8,299583,184958,114625,,-4.3,,,calculated,2026-06-24
1079,2025,9,425886,263061,162825,,-0.9,,,calculated,2026-06-24
1080,2025,10,393358,246052,147306,,2.9,,,calculated,2026-06-24
1081,2025,11,368138,233132,135006,,-3.4,,,calculated,2026-06-24
1082,2025,12,334056,210506,123550,,3.8,,,calculated,2026-06-24
1083,2026,1,365964,227044,138920,,1.1,,,calculated,2026-06-24
1084,2026,2,392600,241305,151295,,3.2,,,calculated,2026-06-24
1085,2026,3,486613,301949,184664,,8.7,,,calculated,2026-06-24
1086,2026,4,371845,253263,118582,,-5.7,,,calculated,2026-06-24
1087,2026,5,330071,212068,118003,,-2.1,,,calculated,2026-06-24
